City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,302.65,51,0,0.0,ZA,1714753188
84,eket,4.6412,7.9209,300.94,79,100,2.03,NG,1714752981
85,selfoss,63.9331,-20.9971,281.51,84,100,5.75,IS,1714752981
86,bilibino,68.0546,166.4372,258.91,78,18,2.43,RU,1714752981
87,hawaiian paradise park,19.5933,-154.9731,293.72,98,100,4.12,US,1714752981
88,utrik,11.2278,169.8474,300.54,76,98,7.94,MH,1714752981
89,i-n-salah,27.1935,2.4607,309.68,6,2,4.77,DZ,1714753188
90,rikaze,29.25,88.8833,281.65,9,62,1.09,CN,1714752981
91,bethel,41.3712,-73.414,290.73,67,100,3.6,US,1714752981
92,tangalle,6.024,80.7911,301.75,86,54,3.35,LK,1714753188
93,magadi,12.9667,77.2333,299.24,79,94,8.52,IN,1714753188
94,pahrump,36.2083,-115.9839,295.84,23,0,0.45,US,1714753188
95,la gi,10.6667,107.7833,301.89,77,24,4.3,VN,1714752981
96,blackmans bay,-43.0167,147.3167,282.44,94,100,1.06,AU,1714753189
97,badger,64.8,-147.5333,277.1,57,40,2.06,US,1714752981
98,new norfolk,-42.7826,147.0587,283.1,94,73,0.95,AU,1714753189
99,maragogi,-9.0122,-35.2225,302.86,67,55,5.93,BR,1714753189
100,buala,-8.145,159.5921,300.11,85,100,2.24,SB,1714752981
101,hermanus,-34.4187,19.2345,291.37,74,26,1.72,ZA,1714752981
102,chernyshevskiy,63.0128,112.4714,262.88,99,46,1.63,RU,1714753189
103,howrah,22.5892,88.3103,304.15,79,20,8.23,IN,1714752982
104,udachny,66.4167,112.4,263.4,93,21,2.08,RU,1714753189
105,anadyr,64.75,177.4833,269.43,63,0,6.0,RU,1714752982
106,thompson,55.7435,-97.8558,275.24,80,75,5.14,CA,1714752982
107,nuuk,64.1835,-51.7216,270.49,50,20,9.26,GL,1714753189
108,sars,56.5502,57.1366,274.25,98,100,3.65,RU,1714753189
109,timbuktu,16.7735,-3.0074,316.03,8,6,5.26,ML,1714752982
110,ta'if,21.2703,40.4158,296.71,14,0,3.35,SA,1714753189
111,arraial do cabo,-22.9661,-42.0278,301.13,74,0,6.69,BR,1714753189
112,dudinka,69.4058,86.1778,264.08,92,100,4.02,RU,1714752982
113,mahenge,-8.6833,36.7167,291.35,92,88,2.0,TZ,1714752982
114,vallenar,-28.5708,-70.7581,291.15,43,0,2.15,CL,1714753189
115,shelbyville,35.4834,-86.4603,298.4,73,0,3.6,US,1714753189
116,ayang-ni,38.2431,125.78,287.07,42,0,1.2,KP,1714752982
117,taupo,-38.6833,176.0833,279.25,88,0,1.26,NZ,1714753189
118,takoradi,4.8845,-1.7554,303.14,72,90,3.8,GH,1714752941
119,isafjordur,66.0755,-23.124,280.17,76,100,2.06,IS,1714752982
120,kuching,1.55,110.3333,300.38,94,40,1.03,MY,1714753189
121,ingeniero jacobacci,-41.3427,-69.5448,278.98,52,89,7.4,AR,1714753189
122,lazaro cardenas,17.9583,-102.2,301.12,53,19,2.9,MX,1714753098
123,makoua,0.0069,15.6333,302.05,69,99,1.28,CG,1714752982
124,grossheubach,49.7272,9.2253,289.21,64,100,0.89,DE,1714752982
125,carnarvon,-24.8667,113.6333,296.58,77,4,9.3,AU,1714752982
126,singaraja,-8.112,115.0882,299.71,86,100,2.79,ID,1714752982
127,hamilton,39.1834,-84.5333,296.28,78,75,4.63,US,1714753190
128,ebon,4.582,168.6964,301.45,83,99,8.64,MH,1714753190
129,mitu,1.1983,-70.1733,300.53,77,100,1.57,CO,1714752982
130,copiapo,-27.3667,-70.3333,290.38,51,8,1.24,CL,1714752970
131,kodiak,57.79,-152.4072,278.88,93,100,5.66,US,1714753190
132,kapuskasing,49.4169,-82.4331,283.08,94,100,4.45,CA,1714752982
133,kourou,5.1552,-52.6478,300.18,81,87,4.05,GF,1714752983
134,barpeta road,26.5028,90.9694,298.8,30,38,2.5,IN,1714753190
135,kamaishi,39.2667,141.8833,283.05,73,0,3.47,JP,1714753190
136,gunnison,38.7,-107.0673,283.1,30,0,6.98,US,1714753190
137,victoria point,-27.5833,153.3,291.43,83,99,4.02,AU,1714753190
138,howard springs,-12.497,131.047,301.1,80,85,1.91,AU,1714752983
139,andergrove,-21.0833,149.1833,295.18,87,45,5.66,AU,1714753190
140,yellowknife,62.456,-114.3525,277.82,64,20,3.6,CA,1714753156
141,kenai,60.5544,-151.2583,279.34,76,100,4.12,US,1714753190
142,sao joao da barra,-21.6403,-41.0511,309.2,68,0,3.26,BR,1714752983
143,san pedro,14.35,121.0167,302.79,74,20,4.02,PH,1714753190
144,kabalo,-6.05,26.9167,299.67,64,41,1.36,CD,1714752983
145,enewetak,11.3474,162.3373,300.5,81,100,7.54,MH,1714753190
146,tofol,5.3248,163.0078,301.22,79,100,8.02,FM,1714753190
147,kismayo,-0.3582,42.5454,301.4,83,43,7.21,SO,1714753190
148,keflavik,64.0049,-22.5624,281.39,87,75,11.32,IS,1714753190
149,sumbe,-11.2061,13.8437,300.55,77,95,2.66,AO,1714753190
150,san patricio,28.017,-97.5169,301.07,76,94,5.75,US,1714752983
151,thunder bay,48.4001,-89.3168,288.1,55,20,7.72,CA,1714753190
152,labasa,-16.4167,179.3833,297.9,93,29,1.97,FJ,1714753190
153,tazacorte,28.629,-17.9293,295.69,79,20,4.12,ES,1714752983
154,priozersk,61.0393,30.1291,277.59,87,100,2.18,RU,1714752983
155,praia da vitoria,38.7333,-27.0667,291.25,80,100,5.43,PT,1714752983
156,nabire,-3.3667,135.4833,298.19,94,100,2.19,ID,1714753191
157,forster,-32.1667,152.5167,285.53,100,64,0.57,AU,1714753191
158,flying fish cove,-10.4217,105.6791,299.97,89,75,5.14,CX,1714752923
159,lebu,-37.6167,-73.65,284.75,72,100,7.65,CL,1714752983
160,nantucket,41.2835,-70.0995,286.23,71,100,7.72,US,1714753191
161,port saint john's,-31.6229,29.5448,296.7,80,0,6.36,ZA,1714753191
162,sitka,57.0531,-135.33,289.09,29,40,5.14,US,1714753191
163,katsuren-haebaru,26.3369,127.8719,297.16,92,75,2.57,JP,1714753191
164,ongjin,37.9347,125.3619,288.07,43,0,1.6,KP,1714753191
165,la mira,18.035,-102.3266,301.86,44,22,3.27,MX,1714752984
166,mathis,28.0945,-97.828,301.18,89,97,4.5,US,1714753025
167,el espinal,16.3333,-94.0667,304.7,55,100,3.9,MX,1714752984
168,margate,51.3813,1.3862,287.98,68,100,4.47,GB,1714752984
169,oelwein,42.6733,-91.9135,291.83,53,2,0.45,US,1714753191
170,yuza,39.0,139.9167,284.25,82,0,2.19,JP,1714753191
171,bredasdorp,-34.5322,20.0403,292.13,68,2,3.07,ZA,1714752984
172,ma'rib,15.4591,45.3253,306.67,21,7,3.8,YE,1714752984
173,vila franca do campo,37.7167,-25.4333,292.38,99,99,5.87,PT,1714752984
174,codrington,-38.2667,141.9667,282.31,93,24,3.06,AU,1714753191
175,coquimbo,-29.9533,-71.3436,287.62,66,0,0.88,CL,1714752605
176,brisas de zicatela,15.8369,-97.0419,304.44,58,75,3.09,MX,1714753191
177,pleiku,13.9833,108.0,295.54,86,77,1.14,VN,1714752984
178,nema,57.5067,50.5011,274.47,68,40,4.73,RU,1714752984
179,portland,45.5234,-122.6762,287.1,76,20,3.09,US,1714753047
180,walvis bay,-22.9575,14.5053,289.87,53,34,5.07,NA,1714753191
181,sola,-13.8833,167.55,301.23,79,62,11.08,VU,1714753192
182,mermoz boabab,14.7065,-17.4758,309.46,80,0,8.62,SN,1714752985
183,viedma,-40.8135,-62.9967,288.05,27,26,8.8,AR,1714752943
184,moyamba,8.1667,-12.4333,309.51,41,96,2.77,SL,1714752985
185,uvalde,29.3669,-99.767,301.0,94,100,1.54,US,1714753192
186,kununurra,-15.7667,128.7333,299.14,53,22,3.09,AU,1714753192
187,hadibu,12.65,54.0333,300.02,85,100,1.62,YE,1714752985
188,okhotsk,59.3833,143.3,272.83,93,97,2.08,RU,1714753192
189,geraldton,-28.7667,114.6,291.38,72,79,5.14,AU,1714752985
190,punta arenas,-53.15,-70.9167,278.21,93,100,2.06,CL,1714752985
191,marolambo,-20.05,48.1167,293.6,98,77,1.5,MG,1714753192
192,guerrero negro,27.9769,-114.0611,290.29,67,75,3.85,MX,1714753192
193,denia,38.8408,0.1057,297.22,35,93,7.15,ES,1714752985
194,taro,-8.3862,115.28,297.15,100,94,0.33,ID,1714752986
195,lakeview,42.432,-75.8655,294.92,64,94,1.34,US,1714753192
196,yaren,-0.5472,166.916,301.21,80,54,2.99,NR,1714752986
197,namibe,-15.1961,12.1522,297.43,72,100,5.95,AO,1714752986
198,yermentau,51.6214,73.1069,278.03,86,100,3.77,KZ,1714753192
199,grand gaube,-20.0064,57.6608,298.37,87,94,2.49,MU,1714753192
200,luau,-10.7073,22.2247,295.56,54,1,0.62,AO,1714753192
201,st. john's,47.5649,-52.7093,279.42,97,100,7.6,CA,1714753045
202,mount isa,-20.7333,139.5,295.02,49,35,4.63,AU,1714753192
203,stornoway,58.2093,-6.3865,293.36,75,0,4.12,GB,1714753192
204,tsiombe,-25.3,45.4833,293.82,79,25,6.54,MG,1714753193
205,hoemul-li,41.4339,129.67,288.47,52,29,1.58,KP,1714752986
206,yantzaza,-3.8278,-78.7594,299.6,72,90,0.81,EC,1714753193
207,baranovichi,53.1327,26.0139,289.91,61,41,3.66,BY,1714752986
208,massakory,12.996,15.7293,316.4,6,100,4.76,TD,1714752986
209,tazovsky,67.4667,78.7,265.55,95,100,4.34,RU,1714752986
210,taltal,-25.4,-70.4833,289.98,70,3,2.01,CL,1714752978
211,chibougamau,49.9168,-74.3659,284.45,64,100,4.9,CA,1714753038
212,tari,12.4086,4.4914,315.62,15,42,3.12,NG,1714752987
213,as sulayyil,20.4607,45.5779,306.29,12,0,5.06,SA,1714752987
214,sisimiut,66.9395,-53.6735,267.86,71,88,8.28,GL,1714753193
215,zanjan,36.6736,48.4787,287.74,55,100,7.51,IR,1714753193
216,aulnoye-aymeries,50.2014,3.8384,289.38,70,100,4.35,FR,1714752987
217,bocas del toro,9.3333,-82.25,302.62,72,59,1.67,PA,1714752987
218,vorgashor,67.5833,63.95,260.26,96,78,1.76,RU,1714752987
219,constantia,44.1833,28.65,289.65,82,100,2.32,RO,1714752987
220,baise city,23.8997,106.6133,295.29,98,100,2.25,CN,1714753193
221,laguna,38.421,-121.4238,293.75,49,0,3.09,US,1714753193
222,vernon,50.2581,-119.2691,285.89,44,7,0.07,CA,1714752949
223,holdrege,40.4403,-99.3698,289.1,54,75,7.72,US,1714753193
224,borba,-4.3878,-59.5939,305.45,62,100,2.27,BR,1714753193
225,at taj,24.2049,23.2857,310.88,10,0,5.92,LY,1714752987
226,weno,7.4515,151.8468,301.12,83,75,3.6,FM,1714753193
227,fale old settlement,-9.3852,-171.2468,302.7,77,67,6.22,TK,1714753193
228,strezhevoy,60.7333,77.5889,264.24,88,16,0.89,RU,1714752987
229,saipan,15.1355,145.701,300.54,78,20,4.12,MP,1714753193
230,ancud,-41.8697,-73.8203,283.44,94,100,4.3,CL,1714752997
231,kavaratti,10.5669,72.642,303.17,65,95,2.98,IN,1714753193
232,magadan,59.5667,150.8,269.56,86,88,2.75,RU,1714753193
233,vila velha,-20.3297,-40.2925,308.12,99,0,3.09,BR,1714753158
234,phan rang-thap cham,11.5667,108.9833,300.41,83,20,0.89,VN,1714753193
235,meadow lake,34.8014,-106.5436,294.64,19,0,2.93,US,1714753194
236,kende,11.5197,4.2603,315.31,18,95,2.36,NG,1714753194
237,tura,25.5198,90.2201,297.79,17,4,2.84,IN,1714753194
238,hasaki,35.7333,140.8333,284.37,73,0,4.61,JP,1714753194
239,pundong,-7.9522,110.3486,298.18,92,89,1.98,ID,1714752988
240,bomdila,27.25,92.4,279.72,78,94,2.73,IN,1714752988
241,east london,-33.0153,27.9116,296.67,73,0,3.09,ZA,1714753194
242,erenhot,43.6475,111.9767,293.13,31,100,5.9,CN,1714752988
243,santa ana de yacuma,-13.75,-65.4333,306.12,58,40,5.14,BO,1714753194
244,brokopondo,4.75,-55.1667,303.23,64,82,2.09,SR,1714753194
245,kulhudhuffushi,6.6221,73.07,302.6,79,58,2.98,MV,1714752988
246,lulea,65.5842,22.1547,277.19,81,0,2.06,SE,1714753194
247,hannoversch munden,51.4151,9.6505,287.44,76,75,3.09,DE,1714752988
248,hakha,22.65,93.6167,289.19,88,18,1.84,MM,1714753194
249,fang,19.9169,99.2145,298.21,64,1,0.58,TH,1714753194
250,al jumum,21.6169,39.6981,304.19,32,0,5.77,SA,1714752988
251,nuevo casas grandes,30.4167,-107.9167,293.71,20,0,1.74,MX,1714752988
252,palafrugell,41.9174,3.1631,294.57,46,60,1.34,ES,1714752949
253,atafu village,-8.5421,-172.5159,302.47,74,100,4.52,TK,1714753194
254,tolanaro,-25.0319,46.9987,294.07,84,72,4.26,MG,1714752988
255,hobyo,5.3505,48.5268,303.05,77,100,7.77,SO,1714752988
256,road town,18.4167,-64.6167,304.2,79,20,3.09,VG,1714753093
